symbol,variant,seed,target,mae,rmse,r2
SYNTHETIC,persistence,,open,0.14414604354733665,0.1780623330827007,0.9950415206274588
SYNTHETIC,persistence,,close,0.5667850629768995,0.7268132712563874,0.9171994620912939
SYNTHETIC,persistence,,volatility,0.006119129439825324,0.009412813685156455,0.9800683412537758
SYNTHETIC,persistence,,sharpe,0.9844236631434609,1.2136776253148809,0.8669889439011997
SYNTHETIC,decoupled,9416042,open,3.0067591060622343,3.8588496648005672,-1.3287352159498957
SYNTHETIC,decoupled,9416042,close,3.326594558493387,4.100302423638777,-1.6352343360778012
SYNTHETIC,decoupled,9416042,volatility,0.06055264855774167,0.06803378193914977,-0.041246957407178986
SYNTHETIC,decoupled,9416042,sharpe,3.527608098586417,4.389067600773858,-0.7395046354861639
SYNTHETIC,decoupled,9416043,open,3.7626480506017295,4.707826843973777,-2.466134042652487
SYNTHETIC,decoupled,9416043,close,3.7328274824779957,4.9243072761695075,-2.80082392167554
SYNTHETIC,decoupled,9416043,volatility,0.061987687382620824,0.06952270685282165,-0.08732122035971868
SYNTHETIC,decoupled,9416043,sharpe,3.4755793657482186,4.440236912374102,-0.7803005920063082
SYNTHETIC,shared,9416042,open,5.502084777030095,6.145760949804199,-4.906846963316044
SYNTHETIC,shared,9416042,close,3.927480400512837,4.919689359222286,-2.7936985908170215
SYNTHETIC,shared,9416042,volatility,0.0603712975931726,0.06769470609744213,-0.030893810470756122
SYNTHETIC,shared,9416042,sharpe,2.7088798756878028,3.626695127207968,-0.18769013196989315
SYNTHETIC,shared,9416043,open,2.3679428773468167,2.776815464003981,-0.20586427920867179
SYNTHETIC,shared,9416043,close,2.3108207187294507,2.9045189096643242,-0.3223179009577455
SYNTHETIC,shared,9416043,volatility,0.06202007560059018,0.07001367009620091,-0.10273257944625014
SYNTHETIC,shared,9416043,sharpe,3.79262120185275,4.767272414651501,-1.0522061714441207
SYNTHETIC,none,9416042,open,3.39576615971221,3.884065391051745,-1.359268981584811
SYNTHETIC,none,9416042,close,2.425574533075322,2.891190217946709,-0.31020964577766263
SYNTHETIC,none,9416042,volatility,0.06539022452713256,0.07386959512612226,-0.22754085547767855
SYNTHETIC,none,9416042,sharpe,3.345850529850501,4.355273029389771,-0.7128203818421315
SYNTHETIC,none,9416043,open,3.9479117016401424,5.016699570338312,-2.935868494385681
SYNTHETIC,none,9416043,close,3.1333513320442408,4.048394388607718,-1.5689348427993806
SYNTHETIC,none,9416043,volatility,0.06529200181905818,0.07327234319103566,-0.20777122479610566
SYNTHETIC,none,9416043,sharpe,2.833403724165742,3.7829045598274855,-0.2922061970916394
SYNTHETIC,price_only,9416042,open,2.531688671735491,3.179545418524711,-0.5810094220298898
SYNTHETIC,price_only,9416042,close,2.9473333419245082,3.6157879454530475,-1.0492425544600943
SYNTHETIC,price_only,9416043,open,2.9692286217768578,3.439182163710594,-0.8497573067133761
SYNTHETIC,price_only,9416043,close,2.9363363909130795,3.4493172066642774,-0.864892191240707
